%Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Watford,509579,196610,51.657605146891,-0.41725555293253,"7",WD18 7LE
Watford High Street,511360,196098,51.652653752213,-0.39168227690127,"8",WD17 2EG
Watford Junction,511023,197340,51.663883061474,-0.39615750118974,"",WD17 1ET
Welling,546096,176073,51.464777075182,0.10178943179171,"4",DA16 3AT
Wembley Central,518214,185039,51.551864816194,-0.29637790641578,"4",HA9 6AG
Wembley Park,519373,186341,51.563322491915,-0.27922812839087,"4",HA9 9AA
Wembley Stadium,518924,185366,51.554654605186,-0.28603202522583,"4",HA9 8BQ
West Acton,519394,181273,51.517770184208,-0.28064276561988,"3",W3 6UP
West Brompton,525383,178030,51.487328938205,-0.19552441152812,"2",SW5 9JX
West Croydon,532188,166098,51.378552186111,-0.1020199266263,"5",CR0 2TA
West Drayton,506124,180122,51.510071275994,-0.47216168972777,"6",UB7 9DY
West Dulwich,532798,173053,51.440911831895,-0.090658290563767,"3",SE21 8HN
West Ealing,516690,180749,51.513625243955,-0.31976854613702,"3",W13 0NQ
West Finchley,525507,191601,51.609262750488,-0.1889026706526,"4",N3 1NT
West Ham,539202,182974,51.52852551818,0.0053318072586749,"3",E15 3BN
West Hampstead,525524,184726,51.547474356007,-0.19111216622603,"2",NW6 2LX
West Hampstead Thameslink,525423,184852,51.548629145744,-0.19252310000093,"2",NW6 1XJ
West Harrow,514163,187957,51.578924280955,-0.35383226807134,"5",HA1 4HE
West India Quay,537471,180505,51.506762659668,-0.020568040587805,"2",E14 4ED
West Kensington,524635,178321,51.490109387233,-0.20618929345907,"2",W14 9NL
West Norwood,531956,171955,51.431241127782,-0.10317475212492,"3",SE27 0HS
West Ruislip,508364,186791,51.569587924657,-0.43784571956141,"6",HA4 7WD
West Silvertown,540455,180155,51.502884431544,0.022260451989289,"3",E16 2AT
West Sutton,525081,164539,51.366150159758,-0.20463018612991,"5",SM1 2EH
West Wickham,538266,166563,51.381284202527,-0.014561963270977,"5",BR4 0PY
Westbourne Park,524920,181764,51.520988865484,-0.20086810419124,"2",W11 1AB
Westcombe Park,540199,178103,51.484508893293,0.017760099794534,"3",SE3 7EQ
Westferry,537064,180814,51.509638150617,-0.026308729670621,"2",E14 8AD
Westminster,530240,179718,51.501401606172,-0.12498767440679,"1",SW1A 2JR
White City,523296,180750,51.512232464701,-0.22461752326457,"2",W12 7RH
White Hart Lane,533693,191340,51.605034779059,-0.07085588920127,"3",N17 7RP
Whitechapel,534738,181859,51.519587792346,-0.059406074587337,"2",E1 1BY
Whitton,514220,173568,51.449588234079,-0.35766767257282,"5",TW2 7LG
Whyteleafe,533842,158505,51.309929327757,-0.081120820529126,"6",CR3 0AD
Whyteleafe South,534169,157797,51.30348981231,-0.076698171894698,"6",CR3 0BD
